clientSendIntervalMs;Lambda;P0_Эксп;P_Отк_Эксп;Q_Эксп;A_Эксп;k_Эксп;P0_Теор;P_Отк_Теор;Q_Теор;A_Теор;k_Теор
25;40.0000;0.1480;0.5500;0.4500;18.0000;9.0000;0.0000;0.7644;0.2356;9.4257;4.7128
33;30.3030;0.1400;0.5600;0.4400;13.3333;6.6667;0.0001;0.6960;0.3040;9.2123;4.6062
40;25.0000;0.1440;0.4400;0.5600;14.0000;7.0000;0.0003;0.6394;0.3606;9.0156;4.5078
50;20.0000;0.1029;0.2800;0.7200;14.4000;7.2000;0.0007;0.5640;0.4360;8.7210;4.3605
67;14.9254;0.0822;0.0000;1.0000;14.9254;7.4627;0.0023;0.4510;0.5490;8.1942;4.0971
80;12.5000;0.0844;0.0000;1.0000;12.5000;6.2500;0.0048;0.3775;0.6225;7.7812;3.8906
100;10.0000;0.0709;0.0000;1.0000;10.0000;5.0000;0.0109;0.2849;0.7151;7.1513;3.5757
125;8.0000;0.0533;0.0000;1.0000;8.0000;4.0000;0.0233;0.1991;0.8009;6.4075;3.2037
167;5.9880;0.0442;0.0000;1.0000;5.9880;2.9940;0.0546;0.1095;0.8905;5.3321;2.6660
250;4.0000;0.0341;0.0000;1.0000;4.0000;2.0000;0.1376;0.0367;0.9633;3.8532;1.9266
500;2.0000;0.3725;0.0000;1.0000;2.0000;1.0000;0.3681;0.0031;0.9969;1.9939;0.9969
